1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID,(I) INCUMBENT INDICATOR,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (when applicable),GE RUNOFF ELECTION % (when applicable),COMBINED GE PARTY TOTALS (when applicable),COMBINED GE PARTY % (when applicable),PE WINNER INDICATOR,GE WINNER INDICATOR,FOOTNOTES,1ST ROUND RCV VOTES,1ST ROUND RCV %,2ND ROUND RCV VOTES,2ND ROUND RCV %,3RD ROUND RCV VOTES,3RD ROUND RCV %
4071,UT,Utah,,n/a,,,,DISTRICT 4,,,,,,,,,,,,,,,"*  Conventions are held by the political parties prior to the primary election.  If one candidate achieves the required convention vote (in accordance with party rules) and there are no candidates that qualified for a primary election by gathering petition signatures, then the candidate is the nominee and the primary election is not held.  If a convention candidate does not achieve the required convention vote, then the top two convention vote-getters will participate in the primary election, along with any candidates that qualified by the signature-gathering method.  There can be multiple rounds of balloting at the party conventions.  For the Democratic and Republican parties, the required convention vote for nomination was 60%.  At the Republican convention, Chris Stewart and Burgess Owens each achieved over 60% of their convention vote.  Republican candidates Tina Cannon (UT/01), Erin Rider (UT/02) and Jake Hunsaker (UT/04) participated in the convention, but qualified for the primary election using the signature method.  The Libertarian Party convention date was April 9, 2022, and the United Utah Party convention date was April 16, 2022.  The Democratic, Republican, Constitution and Independent American Party conventions were held on April 23, 2023.  Convention nominees are noted with an asterisk.",,,,,,
4072,UT,Utah,04,H0UT04076 	,(I),Burgess,Owens,"Owens, Burgess",,R*,56397,61.8897119341564%,,,155110,61.0527475901267%,,,,,W,W,"*  Conventions are held by the political parties prior to the primary election.  If one candidate achieves the required convention vote (in accordance with party rules) and there are no candidates that qualified for a primary election by gathering petition signatures, then the candidate is the nominee and the primary election is not held.  If a convention candidate does not achieve the required convention vote, then the top two convention vote-getters will participate in the primary election, along with any candidates that qualified by the signature-gathering method.  There can be multiple rounds of balloting at the party conventions.  For the Democratic and Republican parties, the required convention vote for nomination was 60%.  At the Republican convention, Chris Stewart and Burgess Owens each achieved over 60% of their convention vote.  Republican candidates Tina Cannon (UT/01), Erin Rider (UT/02) and Jake Hunsaker (UT/04) participated in the convention, but qualified for the primary election using the signature method.  The Libertarian Party convention date was April 9, 2022, and the United Utah Party convention date was April 16, 2022.  The Democratic, Republican, Constitution and Independent American Party conventions were held on April 23, 2023.  Convention nominees are noted with an asterisk.",,,,,,
4073,UT,Utah,04,H2UT04072 ,,Jake,Hunsaker,"Hunsaker, Jake",,R,34728,38.1102880658436%,,,,,,,,,,,"*  Conventions are held by the political parties prior to the primary election.  If one candidate achieves the required convention vote (in accordance with party rules) and there are no candidates that qualified for a primary election by gathering petition signatures, then the candidate is the nominee and the primary election is not held.  If a convention candidate does not achieve the required convention vote, then the top two convention vote-getters will participate in the primary election, along with any candidates that qualified by the signature-gathering method.  There can be multiple rounds of balloting at the party conventions.  For the Democratic and Republican parties, the required convention vote for nomination was 60%.  At the Republican convention, Chris Stewart and Burgess Owens each achieved over 60% of their convention vote.  Republican candidates Tina Cannon (UT/01), Erin Rider (UT/02) and Jake Hunsaker (UT/04) participated in the convention, but qualified for the primary election using the signature method.  The Libertarian Party convention date was April 9, 2022, and the United Utah Party convention date was April 16, 2022.  The Democratic, Republican, Constitution and Independent American Party conventions were held on April 23, 2023.  Convention nominees are noted with an asterisk.",,,,,,
4074,UT,Utah,04,n/a,,,,,Party Votes:,R,91125,,,,,,,,,,,,"*  Conventions are held by the political parties prior to the primary election.  If one candidate achieves the required convention vote (in accordance with party rules) and there are no candidates that qualified for a primary election by gathering petition signatures, then the candidate is the nominee and the primary election is not held.  If a convention candidate does not achieve the required convention vote, then the top two convention vote-getters will participate in the primary election, along with any candidates that qualified by the signature-gathering method.  There can be multiple rounds of balloting at the party conventions.  For the Democratic and Republican parties, the required convention vote for nomination was 60%.  At the Republican convention, Chris Stewart and Burgess Owens each achieved over 60% of their convention vote.  Republican candidates Tina Cannon (UT/01), Erin Rider (UT/02) and Jake Hunsaker (UT/04) participated in the convention, but qualified for the primary election using the signature method.  The Libertarian Party convention date was April 9, 2022, and the United Utah Party convention date was April 16, 2022.  The Democratic, Republican, Constitution and Independent American Party conventions were held on April 23, 2023.  Convention nominees are noted with an asterisk.",,,,,,
4075,UT,Utah,04,H8UT04046,,Darlene,McDonald,"McDonald, Darlene",,D,*,,,,82181,32.3472106872813%,,,,,W,,"*  Conventions are held by the political parties prior to the primary election.  If one candidate achieves the required convention vote (in accordance with party rules) and there are no candidates that qualified for a primary election by gathering petition signatures, then the candidate is the nominee and the primary election is not held.  If a convention candidate does not achieve the required convention vote, then the top two convention vote-getters will participate in the primary election, along with any candidates that qualified by the signature-gathering method.  There can be multiple rounds of balloting at the party conventions.  For the Democratic and Republican parties, the required convention vote for nomination was 60%.  At the Republican convention, Chris Stewart and Burgess Owens each achieved over 60% of their convention vote.  Republican candidates Tina Cannon (UT/01), Erin Rider (UT/02) and Jake Hunsaker (UT/04) participated in the convention, but qualified for the primary election using the signature method.  The Libertarian Party convention date was April 9, 2022, and the United Utah Party convention date was April 16, 2022.  The Democratic, Republican, Constitution and Independent American Party conventions were held on April 23, 2023.  Convention nominees are noted with an asterisk.",,,,,,
4076,UT,Utah,04,H2UT04106,,January,Walker,"Walker, January",,UUP,*,,,,16740,6.58902066055523%,,,,,W,,"*  Conventions are held by the political parties prior to the primary election.  If one candidate achieves the required convention vote (in accordance with party rules) and there are no candidates that qualified for a primary election by gathering petition signatures, then the candidate is the nominee and the primary election is not held.  If a convention candidate does not achieve the required convention vote, then the top two convention vote-getters will participate in the primary election, along with any candidates that qualified by the signature-gathering method.  There can be multiple rounds of balloting at the party conventions.  For the Democratic and Republican parties, the required convention vote for nomination was 60%.  At the Republican convention, Chris Stewart and Burgess Owens each achieved over 60% of their convention vote.  Republican candidates Tina Cannon (UT/01), Erin Rider (UT/02) and Jake Hunsaker (UT/04) participated in the convention, but qualified for the primary election using the signature method.  The Libertarian Party convention date was April 9, 2022, and the United Utah Party convention date was April 16, 2022.  The Democratic, Republican, Constitution and Independent American Party conventions were held on April 23, 2023.  Convention nominees are noted with an asterisk.",,,,,,
4077,UT,Utah,04,H2UT04114,,Jonathan L.,Petersen,"Petersen, Jonathan L.",,W,,,,,28,0.011021062036771%,,,,,,,"*  Conventions are held by the political parties prior to the primary election.  If one candidate achieves the required convention vote (in accordance with party rules) and there are no candidates that qualified for a primary election by gathering petition signatures, then the candidate is the nominee and the primary election is not held.  If a convention candidate does not achieve the required convention vote, then the top two convention vote-getters will participate in the primary election, along with any candidates that qualified by the signature-gathering method.  There can be multiple rounds of balloting at the party conventions.  For the Democratic and Republican parties, the required convention vote for nomination was 60%.  At the Republican convention, Chris Stewart and Burgess Owens each achieved over 60% of their convention vote.  Republican candidates Tina Cannon (UT/01), Erin Rider (UT/02) and Jake Hunsaker (UT/04) participated in the convention, but qualified for the primary election using the signature method.  The Libertarian Party convention date was April 9, 2022, and the United Utah Party convention date was April 16, 2022.  The Democratic, Republican, Constitution and Independent American Party conventions were held on April 23, 2023.  Convention nominees are noted with an asterisk.",,,,,,
4078,UT,Utah,04,n/a,,,,,District Votes:,,91125,,,,254059,,,,,,,,"*  Conventions are held by the political parties prior to the primary election.  If one candidate achieves the required convention vote (in accordance with party rules) and there are no candidates that qualified for a primary election by gathering petition signatures, then the candidate is the nominee and the primary election is not held.  If a convention candidate does not achieve the required convention vote, then the top two convention vote-getters will participate in the primary election, along with any candidates that qualified by the signature-gathering method.  There can be multiple rounds of balloting at the party conventions.  For the Democratic and Republican parties, the required convention vote for nomination was 60%.  At the Republican convention, Chris Stewart and Burgess Owens each achieved over 60% of their convention vote.  Republican candidates Tina Cannon (UT/01), Erin Rider (UT/02) and Jake Hunsaker (UT/04) participated in the convention, but qualified for the primary election using the signature method.  The Libertarian Party convention date was April 9, 2022, and the United Utah Party convention date was April 16, 2022.  The Democratic, Republican, Constitution and Independent American Party conventions were held on April 23, 2023.  Convention nominees are noted with an asterisk.",,,,,,
4079,UT,Utah,H,n/a,,,,,Total State Votes:,,409158,,,,1063258,,,,,,,,"*  Conventions are held by the political parties prior to the primary election.  If one candidate achieves the required convention vote (in accordance with party rules) and there are no candidates that qualified for a primary election by gathering petition signatures, then the candidate is the nominee and the primary election is not held.  If a convention candidate does not achieve the required convention vote, then the top two convention vote-getters will participate in the primary election, along with any candidates that qualified by the signature-gathering method.  There can be multiple rounds of balloting at the party conventions.  For the Democratic and Republican parties, the required convention vote for nomination was 60%.  At the Republican convention, Chris Stewart and Burgess Owens each achieved over 60% of their convention vote.  Republican candidates Tina Cannon (UT/01), Erin Rider (UT/02) and Jake Hunsaker (UT/04) participated in the convention, but qualified for the primary election using the signature method.  The Libertarian Party convention date was April 9, 2022, and the United Utah Party convention date was April 16, 2022.  The Democratic, Republican, Constitution and Independent American Party conventions were held on April 23, 2023.  Convention nominees are noted with an asterisk.",,,,,,
4080,VT,Vermont,,n/a,,,,AT LARGE DISTRICT,,,,,,,,,,,,,,,,,,,,,
4081,VT,Vermont,00,H2VT01076,,Becca,Balint,"Balint, Becca",,D,61025,60.4722833303605%,,,176494,62.5807549658542%,,,,,W,W,,,,,,,
4082,VT,Vermont,00,H2VT01068,,Molly,Gray,"Gray, Molly",,D,37266,36.9284737499257%,,,,,,,,,,,,,,,,,
4083,VT,Vermont,00,H2VT01118,,Louis,Meyers,"Meyers, Louis",,D,1593,1.57857185326119%,,,,,,,,,,,,,,,,,
4084,VT,Vermont,00,H2VT01092,,Sianay Chase,Clifford,"Clifford, Sianay Chase",,D,885,0.876984362922885%,,,,,,,,,,,,,,,,,
4085,VT,Vermont,00,n/a,,,,Scattered,,W(D),145,0.143686703529738%,,,,,,,,,,,,,,,,,
4086,VT,Vermont,00,n/a,,,,,Party Votes:,D,100914,,,,,,,,,,,,,,,,,,
4087,VT,Vermont,00,H2VT01100,,Liam,Madden,"Madden, Liam",,R,10701,39.9619090298006%,,,78397,27.7977916929645%,,,,,W,,,,,,,,
4088,VT,Vermont,00,H2VT01084,,Ericka Bundy,Redic,"Redic, Ericka Bundy",,R,8255,30.8275449996266%,,,,,,,,,,,,,,,,,
4089,VT,Vermont,00,H8VT01065,,Anya,Tynio,"Tynio, Anya",,R,6908,25.7972962879976%,,,,,,,,,,,,,,,,,
4090,VT,Vermont,00,n/a,,,,Scattered,,W(R),914,3.41324968257525%,,,,,,,,,,,,,,,,,
4091,VT,Vermont,00,n/a,,,,,Party Votes:,R,26778,,,,,,,,,,,,,,,,,,
4092,VT,Vermont,00,H2VT01084,,Ericka ,Redic,"Redic, Ericka ",,LIB,,,,,12590,4.46412742087609%,,,,,,,,,,,,,
4093,VT,Vermont,00,H2VT00169,,Matt,Druzba,"Druzba, Matt",,IND,,,,,5737,2.03420961187976%,,,,,,,,,,,,,
4094,VT,Vermont,00,H2VT00185,,Luke,Talbot,"Talbot, Luke",,IND,,,,,4428,1.57006800791416%,,,,,,,,,,,,,
4095,VT,Vermont,00,H2VT00177,,Adam,Ortiz,"Ortiz, Adam",,IND,,,,,3376,1.1970527540014%,,,,,,,,,,,,,
4096,VT,Vermont,00,n/a,,,Scattered,Scattered,,W,,,,,1004,0.355995546509896%,,,,,,,,,,,,,
4097,VT,Vermont,00,H2VT00151,,Barbara,Nolfi,"Nolfi, Barbara",,PRO,439,82.8301886792453%,,,,,,,,,W,,,,,,,,
4098,VT,Vermont,00,n/a,,,,Scattered,,W(PRO),91,17.1698113207547%,,,,,,,,,,,,,,,,,
4099,VT,Vermont,00,n/a,,,,,Party Votes:,PRO,530,,,,,,,,,,,,,,,,,,
4100,VT,Vermont,00,n/a,,,,,District Votes:,,128222,,,,282026,,,,,,,,,,,,,,
4101,VT,Vermont,H,n/a,,,,,Total State Votes:,,128222,,,,282026,,,,,,,,,,,,,,
4102,VI,Virgin Islands,,n/a,,,,DELEGATE,,,,,,,,,,,,,,,,,,,,,
4103,VI,Virgin Islands,00,H2VI00082,(I),Stacey E.,Plaskett,"Plaskett, Stacey E.",,D,Unopposed,,,,16354,98.7381513010928%,,,,,W,W,,,,,,,
4104,VI,Virgin Islands,00,n/a,,,Scattered,Scattered,,W,,,,,209,1.2618486989072%,,,,,,,,,,,,,
4105,VI,Virgin Islands,00,n/a,,,,,District Votes:,,,,,,16563,,,,,,,,,,,,,,
4106,VI,Virgin Islands,H,n/a,,,,,Total State Votes:,,,,,,16563,,,,,,,,,,,,,,
4107,VA,Virginia,,n/a,,,,DISTRICT 1,,,,,,,,,,,,,,,,,,,,,
4108,VA,Virginia,01,H8VA01147,(I),Rob J.,Wittman,"Wittman, Rob J.",,R,Unopposed,,,,191828,55.9692826590574%,,,,,W,W,"*  In Virginia, the Democratic and Republican Parties may choose to nominate by convention rather than by primary election.  The Democratic Party used the primary election for all U.S. House Districts except Districts 6 and 9.  The District 6 and 9 convention/caucus dates were scheduled after no candidates qualified for the primary election.  The Democratic convention date for District 6 was June 11, 2022, and the caucus date for District 9 was May 21, 2022.  The Republican Party used the primary election for U.S. House Districts 1-4, 6, 7 and 9.  The Republican Party convention/canvass date is May 21, 2022, for Districts 5, 8 and 10.  The Republican Party convention/canvass date for District 11 is May 7, 2022.  Convention nominees are noted with an asterisk.",,,,,,
4109,VA,Virginia,01,H2VA01124,,"Herbert C. ""Herb,"" Jr.",Jones,"Jones, Herbert C. ""Herb,"" Jr.",,D,Unopposed,,,,147229,42.9567191265632%,,,,,W,,"*  In Virginia, the Democratic and Republican Parties may choose to nominate by convention rather than by primary election.  The Democratic Party used the primary election for all U.S. House Districts except Districts 6 and 9.  The District 6 and 9 convention/caucus dates were scheduled after no candidates qualified for the primary election.  The Democratic convention date for District 6 was June 11, 2022, and the caucus date for District 9 was May 21, 2022.  The Republican Party used the primary election for U.S. House Districts 1-4, 6, 7 and 9.  The Republican Party convention/canvass date is May 21, 2022, for Districts 5, 8 and 10.  The Republican Party convention/canvass date for District 11 is May 7, 2022.  Convention nominees are noted with an asterisk.",,,,,,
4110,VA,Virginia,01,H0VA02183,,David Bruce,Foster,"Foster, David Bruce",,IND,,,,,3388,0.988510173952115%,,,,,,,"*  In Virginia, the Democratic and Republican Parties may choose to nominate by convention rather than by primary election.  The Democratic Party used the primary election for all U.S. House Districts except Districts 6 and 9.  The District 6 and 9 convention/caucus dates were scheduled after no candidates qualified for the primary election.  The Democratic convention date for District 6 was June 11, 2022, and the caucus date for District 9 was May 21, 2022.  The Republican Party used the primary election for U.S. House Districts 1-4, 6, 7 and 9.  The Republican Party convention/canvass date is May 21, 2022, for Districts 5, 8 and 10.  The Republican Party convention/canvass date for District 11 is May 7, 2022.  Convention nominees are noted with an asterisk.",,,,,,
4111,VA,Virginia,01,n/a,,,Scattered,Scattered,,W,,,,,293,0.0854880404273818%,,,,,,,,,,,,,
4112,VA,Virginia,01,n/a,,,,,District Votes:,,,,,,342738,,,,,,,,,,,,,,
4113,VA,Virginia,,n/a,,,,DISTRICT 2,,,,,,,,,,,,,,,"*  In Virginia, the Democratic and Republican Parties may choose to nominate by convention rather than by primary election.  The Democratic Party used the primary election for all U.S. House Districts except Districts 6 and 9.  The District 6 and 9 convention/caucus dates were scheduled after no candidates qualified for the primary election.  The Democratic convention date for District 6 was June 11, 2022, and the caucus date for District 9 was May 21, 2022.  The Republican Party used the primary election for U.S. House Districts 1-4, 6, 7 and 9.  The Republican Party convention/canvass date is May 21, 2022, for Districts 5, 8 and 10.  The Republican Party convention/canvass date for District 11 is May 7, 2022.  Convention nominees are noted with an asterisk.",,,,,,
4114,VA,Virginia,02,H2VA02064,,Jen A.,Kiggans,"Kiggans, Jen A.",,R,23300,55.6896675350749%,,,153328,51.6275013552691%,,,,,W,W,"*  In Virginia, the Democratic and Republican Parties may choose to nominate by convention rather than by primary election.  The Democratic Party used the primary election for all U.S. House Districts except Districts 6 and 9.  The District 6 and 9 convention/caucus dates were scheduled after no candidates qualified for the primary election.  The Democratic convention date for District 6 was June 11, 2022, and the caucus date for District 9 was May 21, 2022.  The Republican Party used the primary election for U.S. House Districts 1-4, 6, 7 and 9.  The Republican Party convention/canvass date is May 21, 2022, for Districts 5, 8 and 10.  The Republican Party convention/canvass date for District 11 is May 7, 2022.  Convention nominees are noted with an asterisk.",,,,,,
4115,VA,Virginia,02,H0VA02175,,Jarome,Bell,"Bell, Jarome",,R,11330,27.0799971318626%,,,,,,,,,,,"*  In Virginia, the Democratic and Republican Parties may choose to nominate by convention rather than by primary election.  The Democratic Party used the primary election for all U.S. House Districts except Districts 6 and 9.  The District 6 and 9 convention/caucus dates were scheduled after no candidates qualified for the primary election.  The Democratic convention date for District 6 was June 11, 2022, and the caucus date for District 9 was May 21, 2022.  The Republican Party used the primary election for U.S. House Districts 1-4, 6, 7 and 9.  The Republican Party convention/canvass date is May 21, 2022, for Districts 5, 8 and 10.  The Republican Party convention/canvass date for District 11 is May 7, 2022.  Convention nominees are noted with an asterisk.",,,,,,
4116,VA,Virginia,02,H2VA02072,,"L. Tommy, III",Altman,"Altman, L. Tommy, III",,R,5972,14.2737637132819%,,,,,,,,,,,"*  In Virginia, the Democratic and Republican Parties may choose to nominate by convention rather than by primary election.  The Democratic Party used the primary election for all U.S. House Districts except Districts 6 and 9.  The District 6 and 9 convention/caucus dates were scheduled after no candidates qualified for the primary election.  The Democratic convention date for District 6 was June 11, 2022, and the caucus date for District 9 was May 21, 2022.  The Republican Party used the primary election for U.S. House Districts 1-4, 6, 7 and 9.  The Republican Party convention/canvass date is May 21, 2022, for Districts 5, 8 and 10.  The Republican Party convention/canvass date for District 11 is May 7, 2022.  Convention nominees are noted with an asterisk.",,,,,,
4117,VA,Virginia,02,H0VA02167,,"Andrew G. ""Andy""",Baan,"Baan, Andrew G. ""Andy""",,R,1237,2.95657161978059%,,,,,,,,,,,"*  In Virginia, the Democratic and Republican Parties may choose to nominate by convention rather than by primary election.  The Democratic Party used the primary election for all U.S. House Districts except Districts 6 and 9.  The District 6 and 9 convention/caucus dates were scheduled after no candidates qualified for the primary election.  The Democratic convention date for District 6 was June 11, 2022, and the caucus date for District 9 was May 21, 2022.  The Republican Party used the primary election for U.S. House Districts 1-4, 6, 7 and 9.  The Republican Party convention/canvass date is May 21, 2022, for Districts 5, 8 and 10.  The Republican Party convention/canvass date for District 11 is May 7, 2022.  Convention nominees are noted with an asterisk.",,,,,,
4118,VA,Virginia,02,n/a,,,,,Party Votes:,R,41839,,,,,,,,,,,,"*  In Virginia, the Democratic and Republican Parties may choose to nominate by convention rather than by primary election.  The Democratic Party used the primary election for all U.S. House Districts except Districts 6 and 9.  The District 6 and 9 convention/caucus dates were scheduled after no candidates qualified for the primary election.  The Democratic convention date for District 6 was June 11, 2022, and the caucus date for District 9 was May 21, 2022.  The Republican Party used the primary election for U.S. House Districts 1-4, 6, 7 and 9.  The Republican Party convention/canvass date is May 21, 2022, for Districts 5, 8 and 10.  The Republican Party convention/canvass date for District 11 is May 7, 2022.  Convention nominees are noted with an asterisk.",,,,,,
4119,VA,Virginia,02,H8VA02111,(I),Elaine G.,Luria,"Luria, Elaine G.",,D,Unopposed,,,,143219,48.223671583796%,,,,,W,,"*  In Virginia, the Democratic and Republican Parties may choose to nominate by convention rather than by primary election.  The Democratic Party used the primary election for all U.S. House Districts except Districts 6 and 9.  The District 6 and 9 convention/caucus dates were scheduled after no candidates qualified for the primary election.  The Democratic convention date for District 6 was June 11, 2022, and the caucus date for District 9 was May 21, 2022.  The Republican Party used the primary election for U.S. House Districts 1-4, 6, 7 and 9.  The Republican Party convention/canvass date is May 21, 2022, for Districts 5, 8 and 10.  The Republican Party convention/canvass date for District 11 is May 7, 2022.  Convention nominees are noted with an asterisk.",,,,,,
4120,VA,Virginia,02,n/a,,,Scattered,Scattered,,W,,,,,442,0.148827060934917%,,,,,,,,,,,,,
4121,VA,Virginia,02,n/a,,,,,District Votes:,,41839,,,,296989,,,,,,,,,,,,,,
4122,VA,Virginia,,n/a,,,,DISTRICT 3,,,,,,,,,,,,,,,"*  In Virginia, the Democratic and Republican Parties may choose to nominate by convention rather than by primary election.  The Democratic Party used the primary election for all U.S. House Districts except Districts 6 and 9.  The District 6 and 9 convention/caucus dates were scheduled after no candidates qualified for the primary election.  The Democratic convention date for District 6 was June 11, 2022, and the caucus date for District 9 was May 21, 2022.  The Republican Party used the primary election for U.S. House Districts 1-4, 6, 7 and 9.  The Republican Party convention/canvass date is May 21, 2022, for Districts 5, 8 and 10.  The Republican Party convention/canvass date for District 11 is May 7, 2022.  Convention nominees are noted with an asterisk.",,,,,,
4123,VA,Virginia,03,H6VA01117,(I),"Robert C. ""Bobby""",Scott,"Scott, Robert C. ""Bobby""",,D,Unopposed,,,,139659,67.1944689020078%,,,,,W,W,"*  In Virginia, the Democratic and Republican Parties may choose to nominate by convention rather than by primary election.  The Democratic Party used the primary election for all U.S. House Districts except Districts 6 and 9.  The District 6 and 9 convention/caucus dates were scheduled after no candidates qualified for the primary election.  The Democratic convention date for District 6 was June 11, 2022, and the caucus date for District 9 was May 21, 2022.  The Republican Party used the primary election for U.S. House Districts 1-4, 6, 7 and 9.  The Republican Party convention/canvass date is May 21, 2022, for Districts 5, 8 and 10.  The Republican Party convention/canvass date for District 11 is May 7, 2022.  Convention nominees are noted with an asterisk.",,,,,,
4124,VA,Virginia,03,H2VA03070,,Terry T. ,Namkung,"Namkung, Terry T. ",,R,6293,60.4572965702757%,,,67668,32.5572667831007%,,,,,W,,"*  In Virginia, the Democratic and Republican Parties may choose to nominate by convention rather than by primary election.  The Democratic Party used the primary election for all U.S. House Districts except Districts 6 and 9.  The District 6 and 9 convention/caucus dates were scheduled after no candidates qualified for the primary election.  The Democratic convention date for District 6 was June 11, 2022, and the caucus date for District 9 was May 21, 2022.  The Republican Party used the primary election for U.S. House Districts 1-4, 6, 7 and 9.  The Republican Party convention/canvass date is May 21, 2022, for Districts 5, 8 and 10.  The Republican Party convention/canvass date for District 11 is May 7, 2022.  Convention nominees are noted with an asterisk.",,,,,,
4125,VA,Virginia,03,H2VA02056,,Ted W.,Engquist,"Engquist, Ted W.",,R,4116,39.5427034297243%,,,,,,,,,,,"*  In Virginia, the Democratic and Republican Parties may choose to nominate by convention rather than by primary election.  The Democratic Party used the primary election for all U.S. House Districts except Districts 6 and 9.  The District 6 and 9 convention/caucus dates were scheduled after no candidates qualified for the primary election.  The Democratic convention date for District 6 was June 11, 2022, and the caucus date for District 9 was May 21, 2022.  The Republican Party used the primary election for U.S. House Districts 1-4, 6, 7 and 9.  The Republican Party convention/canvass date is May 21, 2022, for Districts 5, 8 and 10.  The Republican Party convention/canvass date for District 11 is May 7, 2022.  Convention nominees are noted with an asterisk.",,,,,,
4126,VA,Virginia,03,n/a,,,,,Party Votes:,R,10409,,,,,,,,,,,,"*  In Virginia, the Democratic and Republican Parties may choose to nominate by convention rather than by primary election.  The Democratic Party used the primary election for all U.S. House Districts except Districts 6 and 9.  The District 6 and 9 convention/caucus dates were scheduled after no candidates qualified for the primary election.  The Democratic convention date for District 6 was June 11, 2022, and the caucus date for District 9 was May 21, 2022.  The Republican Party used the primary election for U.S. House Districts 1-4, 6, 7 and 9.  The Republican Party convention/canvass date is May 21, 2022, for Districts 5, 8 and 10.  The Republican Party convention/canvass date for District 11 is May 7, 2022.  Convention nominees are noted with an asterisk.",,,,,,
4127,VA,Virginia,03,n/a,,,Scattered,Scattered,,W,,,,,516,0.248264314891529%,,,,,,,,,,,,,
4128,VA,Virginia,03,n/a,,,,,District Votes:,,10409,,,,207843,,,,,,,,,,,,,,
4129,VA,Virginia,,n/a,,,,DISTRICT 4,,,,,,,,,,,,,,,"*  In Virginia, the Democratic and Republican Parties may choose to nominate by convention rather than by primary election.  The Democratic Party used the primary election for all U.S. House Districts except Districts 6 and 9.  The District 6 and 9 convention/caucus dates were scheduled after no candidates qualified for the primary election.  The Democratic convention date for District 6 was June 11, 2022, and the caucus date for District 9 was May 21, 2022.  The Republican Party used the primary election for U.S. House Districts 1-4, 6, 7 and 9.  The Republican Party convention/canvass date is May 21, 2022, for Districts 5, 8 and 10.  The Republican Party convention/canvass date for District 11 is May 7, 2022.  Convention nominees are noted with an asterisk.",,,,,,
4130,VA,Virginia,04,H6VA04061,(I),A. Donald,McEachin,"McEachin, A. Donald",,D,Unopposed,,,,159044,64.9233381774244%,,,,,W,W,"*  In Virginia, the Democratic and Republican Parties may choose to nominate by convention rather than by primary election.  The Democratic Party used the primary election for all U.S. House Districts except Districts 6 and 9.  The District 6 and 9 convention/caucus dates were scheduled after no candidates qualified for the primary election.  The Democratic convention date for District 6 was June 11, 2022, and the caucus date for District 9 was May 21, 2022.  The Republican Party used the primary election for U.S. House Districts 1-4, 6, 7 and 9.  The Republican Party convention/canvass date is May 21, 2022, for Districts 5, 8 and 10.  The Republican Party convention/canvass date for District 11 is May 7, 2022.  Convention nominees are noted with an asterisk.",,,,,,
4131,VA,Virginia,04,H0VA04064,,"Leon, Sr.",Benjamin,"Benjamin, Leon, Sr.",,R,Unopposed,,,,85503,34.9031726074817%,,,,,W,,"*  In Virginia, the Democratic and Republican Parties may choose to nominate by convention rather than by primary election.  The Democratic Party used the primary election for all U.S. House Districts except Districts 6 and 9.  The District 6 and 9 convention/caucus dates were scheduled after no candidates qualified for the primary election.  The Democratic convention date for District 6 was June 11, 2022, and the caucus date for District 9 was May 21, 2022.  The Republican Party used the primary election for U.S. House Districts 1-4, 6, 7 and 9.  The Republican Party convention/canvass date is May 21, 2022, for Districts 5, 8 and 10.  The Republican Party convention/canvass date for District 11 is May 7, 2022.  Convention nominees are noted with an asterisk.",,,,,,
4132,VA,Virginia,04,n/a,,,Scattered,Scattered,,W,,,,,425,0.17348921509397%,,,,,,,,,,,,,
4133,VA,Virginia,04,n/a,,,,,District Votes:,,,,,,244972,,,,,,,,,,,,,,
4134,VA,Virginia,,n/a,,,,DISTRICT 5,,,,,,,,,,,,,,,"*  In Virginia, the Democratic and Republican Parties may choose to nominate by convention rather than by primary election.  The Democratic Party used the primary election for all U.S. House Districts except Districts 6 and 9.  The District 6 and 9 convention/caucus dates were scheduled after no candidates qualified for the primary election.  The Democratic convention date for District 6 was June 11, 2022, and the caucus date for District 9 was May 21, 2022.  The Republican Party used the primary election for U.S. House Districts 1-4, 6, 7 and 9.  The Republican Party convention/canvass date is May 21, 2022, for Districts 5, 8 and 10.  The Republican Party convention/canvass date for District 11 is May 7, 2022.  Convention nominees are noted with an asterisk.",,,,,,
4135,VA,Virginia,05,H0VA05160,(I),"Robert G. ""Bob""",Good,"Good, Robert G. ""Bob""",,R,*,,,,177191,57.5716026317927%,,,,,*,W,"*  In Virginia, the Democratic and Republican Parties may choose to nominate by convention rather than by primary election.  The Democratic Party used the primary election for all U.S. House Districts except Districts 6 and 9.  The District 6 and 9 convention/caucus dates were scheduled after no candidates qualified for the primary election.  The Democratic convention date for District 6 was June 11, 2022, and the caucus date for District 9 was May 21, 2022.  The Republican Party used the primary election for U.S. House Districts 1-4, 6, 7 and 9.  The Republican Party convention/canvass date is May 21, 2022, for Districts 5, 8 and 10.  The Republican Party convention/canvass date for District 11 is May 7, 2022.  Convention nominees are noted with an asterisk.",,,,,,
